user_id,user_location,traveler_type,review_title,review_date,review_score,review
Murfcat,"Charleston, South Carolina",Families,Great view...with the rudest employees in NYC!,"April 14, 2017",1,"I felt like I was in basic training again (of course, then I got paid); you are herded from place to place and berated along the way. Finally, you reach the top...which is great. Also, we paid for a tour...what tour? Think the ""lady"" at...More"
Mark L,"Kuala Lumpur, Malaysia",Families,Terribly organised - pick a better tower to visit,"April 8, 2017",1,"The organisation at the bottom was beyond hopeless. We had pre booked on line, and has a QR code. The staff were clueless sending us to line up to get a ticket we didn't need. We then went to entrance and were told we could...More"
sellshomesfaster,"Canton, Ohio",Families,Night time views of the city!!!,"March 21, 2017",1,We chose to go to The Top of The Rock in the evening after dinner. What a delightful experience seeing NYC in the dark!!!
David N,"Paris, France",Families,Overpriced rip-off,"November 5, 2016",1,"Who wants to queue in a long line to be told that it is 120$ for 2 adults and 2 children, just go up an elevator and see a view!!!"
Jan P,Cyprus,Families,Couldn't see a thing,"October 21, 2016",1,Why allow you to go up if its cloudy. A complete waste of time. probably stayed up their 10 minutes and that was too long.
hertsman2015,"Hertfordshire, United Kingdom",Families,Too expensive,"October 19, 2016",1,Great views but extortionately expensive . 120 dollars for two adults and two young kids. They then try to charge you 30 dollars for a photo. Complete rip off.
NoJunk69,"Seattle, Washington",Families,Nothing special about visiting to of the Rock,"September 28, 2016",1,"We paid lot of money as entry fee and had to book and wait to get the tour. Once you go up, you are on your own. You do see skyscrapers, but there is no information. There are several other buildings taller than the Rock...More"
Gaye B,"St. John's, Canada",Families,Amazing View,"September 16, 2016",1,Well worth the trip. The lines were not too long and the view was breathtaking. The staff were very knowledgeable and helpful.
Z9378JYamy,"Naperville, Illinois",Families,NYC Pass Not the Way to See This,"August 23, 2016",1,"Attempted to go at 5pm on Friday, August 5. Stopped at the door. Tickets sold out for the day. Thankfully Empire State Building was very accommodating so got to see a great view. My advice if you are going to using the NYC Pass...go first...More"
AWilliams1978,"St. Albans, United Kingdom",Families,Dismal experience so far...,"July 17, 2016",1,The Top of the Rock experience promises an experience with knowledge of how to do it well..... So far utterly dismal and a waste of time and money. Whilst in another long wait - this time in a cinema style room the audio is so...More
Louis160301,"Glasgow, United Kingdom",Families,Overpriced and Unorganised,"June 30, 2016",1,"Was extremely disappointed with the 'Top of the Rock Observation Deck' Staff were friendly, however the process getting up to the observation deck seemed unorganised. Eventually after waiting a long period of time we reached the top of the tower but the view of the...More"
redsparrow65,"London, United Kingdom",Families,Great view,"June 3, 2016",1,Really good fun and well organised. Kids were fixated on Empire State views but loved looking at the Empire State and the 360 views. There was lots of space and what was really nice was that there was no hard sell of photos or merchandise....More
mbkite,"New York City, New York",Families,Yea u can see far,"May 24, 2016",1,I live in NY but not in the big apple and have never been a fan of the city. My daughter wanted to go to the city for her birthday so top of the Rock was on her list. I found the people cold just...More
alijohn1907,"Clayton le Woods, United Kingdom",Families,Having to pay!,"April 25, 2016",1,Cost to go to the Observation Deck is 32$ per person. I personally do not believe in paying just to see tops of buildings.
Been2Bagan,"Montclair, New Jersey",Families,Be careful where you buy the tickets...,"March 16, 2016",1,"This attraction is always crowded, so beware that lines are long and it is not a wholly pleasant experience getting to the top of the deck. We bought tickets from an internet site and the ticket folks there did not honor our ticket and asked...More"
janelle o,,Families,What a view!,"February 17, 2016",1,When we walked in we immediately caught sight of a famous comedian exiting the lobby which set the tone for our feeling of excitement . The entrance fee seems extravagant but fairly well worth it. The elevatorride is an experience you will remember with a...More
Carduha,"Lima, Peru",Families,Careful with the weather ,"January 26, 2016",1,We came to this place after we bought our tickets online but when we arrived they said the weather was no good and we would not be able to see anything :( of course the money was no refundable and there was no warning online...More
salbi246,"Spalding, United Kingdom",Families,Was not told you need to book,"January 14, 2016",1,Please beware that if you have a city it does not entitle you tickets straight away. We tried to go there on our last day to be told there were not tickets till 7pm so we wasted that part of our city pass. We had...More
Prithvirajagrawal,"New Delhi, India",Families,Good to visit once ,"January 7, 2016",1,We enjoyed . Kids had lots of fun. It was easy to reach. How ever there was a long waiting due to holiday season. ......... Visit only if you have time though it's gives a nice view of the city
Keith G,"Bath, United Kingdom",Families,The Rock just ain't good enough!,"August 16, 2015",1,Went with family on a Thursday at about 1930. Had a city pass. The line for city pass was manned by one staff member and appeared no faster than the no ticket line. So much for beating the queues. While we waited (15 minutes) the...More
Jessica W,"Athens, Georgia",Families,Not worth the wait or money,"July 16, 2015",1,The view was obstructed by the glass panels. It was not worth the wait or the cost. Spend your money on a great restaurant or show.
FoodHotelsnBeerBloke,,Families,Too expensive.,"June 18, 2015",1,"This was not worth the entry fee or queues. The street outside is littered with legit ticket touts that hassle you to buy now. Finding the official ticket office is awkward, it's on one side of the basement. In a dull day you really can't...More"
Sanski66,"Espoo, Finland",Families,"Well yeah, the view might be great, but do you want to queue 90mins?","May 6, 2015",1,"We were recommended to go for thos rather than the Empire state building, as this was supposed to be as good but faster. Well, we brought the tickets in advance, but stillit took us an hour to get upstairs, neaning we had onlyten minutes to...More"
Susan E,"Bensenville, Illinois",Families,My credit card got scammed at the photo booth on the observation deck.,"April 14, 2015",1,"Everything about the experience was FANTASTIC, except when I went home and found a transaction on my credit report for the exact same amount as the picture I bought on the same day, but posted two days later, for Shakya Trading Inc. Then today someone...More"
Tom W,"Newmarket, Canada",Families,Rediculous security,"March 21, 2015",1,"Don't bring a pocket knife, they x-ray and won't allow you in, but you only find that out after you have paid, and there's nowhere to check or leave it. Nowhere else had this restriction. Friendly staff, though. The view isn't worth what they charge."
mlkSrq,srq,Families,Don't do it,"March 6, 2015",1,"My family's accountant was in the Empire State Building, so I am accoustomed to just walking in and going up. Now granted this was Thanksgiving weekend, and the world was in NYC, but the lines were unbearable, and once you were in them it was...More"
PHILIPH66274,"Largo, Florida",Families,RIPOFF,"January 7, 2015",1,Even by NY standards charging people at Christmas time $48.00 each is a CRIME. We had the same views from our hotel room. Shame on mankind for this one!
RobWhiteofSelden,"Selden, New York",Families,crowded,"November 2, 2014",1,lots of folks in the way when you get up top.. They are all rude and you feel claustrophobic. Do it once....... OVER PRICED
Ir_Fauzul,"Edmonton, Canada",Families,Waste of money,"September 2, 2014",1,"Not worth the money. going up there and no one to explain the surroundings. Although the view seems nice, I think it's just a was of money."
Tilly J,"London, United Kingdom",Families,Gave up.,"August 20, 2014",1,"The Rockefeller building was magnificent but, being inexperienced in the ways of NYC, we hadn't booked online ahead of time and were told it would be a four hour wait. Probably our fault for being naïve!"
Ben050938,"Boston, Massachusetts",Families,Not Worth IT,"August 20, 2014",1,"Rude personnel, poorly managed, uncomfortable, no attempt at crowd control. Not attempt to provide customers with what they purchased. Won't be back."
Mike K,"Brisbane, Australia",Families,Overpriced,"August 8, 2014",1,"I know New York is an expensive City but to see the sights from the top of a building (and this is all the Observation Deck is) for the prices they charge is just too expensive, especially for a family.
Grab a seat on the...More"
CaEmerald,ca,Families,Would it Kill Them to Put Up a Sign?,"January 6, 2014",1,Utter chaos. Lines everywhere but no one knew where to go. Even the staff didn't seem to know where to direct people. This isn't rocket science. Pathetically disorganized!
paulaph2,"Perth and Kinross, United Kingdom",Families,Nightmare,"September 7, 2013",1,This was the worst decision made in NY.We did this in the evening as had been told it was great. It all started so well . A short line to get your timed ticket slot lulls you in to a false sense of thinking that...More
Paul B,"Antwerp, Belgium",Families,visitors treated like catle,"September 5, 2013",1,"long long waiting lines, the thing is just too succesfull during holiday season, avoid even trying going up, it is not worth the hassle.."
Laura O,"Toronto, Canada",Families,Don't waste your money!,"March 3, 2013",1,"Expensive disappointment! No information at viewing site at top at all of what you are looking at etc. For amount of time you might spend here, not knowing what part of New York you face etc. is crazy!!!!! Far better to use your money towards...More"
DonnaB289,"Clinton, Maine",Families,Got Stuck in The Elevator on the 67th Floor,"November 13, 2012",1,"My daughter and I planned this trip for months and read so many great reviews. The sites you see from the top are awesome, HOWEVER...getting stuck on the 67th floor in the elevator for over 20 minutes and not gewtting any kind of appology from...More"
crystalswa,"Mt Airy, MD",Families,Bad business practice,"January 1, 2012",1,"The day we went it was raining. We got in line and paid for our ticket and got in line again to go through security. Then waiting in line to do the ""picture"" they want you to buy when finished tour. Then we were told...More"
414phillipa,"Melbourne, Australia",Couples,Dinner ,"April 22, 2018",1,With out a doubt one of the most dissatisfied and disappointed parts of my trip we booked it for a dinner to celebrate our marriage of many years and was confronted with a loud crowded bar atmosphere.this was not what I had expected and we...More
Joshua D,"Honolulu, Hawaii",Couples,Pay Money To Act Like a Cow!,"March 18, 2018",1,"You're gonna love this. Pay large sums of money to wait in line for a ticket. Then, after rubbing elbows with complete strangers, you get to wait in line to be crammed into an elevator that goes up 3-4 floors. So much fun as you...More"
Berry H,,Couples,appalling service and bad education,"January 4, 2018",1,"It was a bad experience some shouting and bad character I had the city pass and it seems that it was not enough that they do not let me go up, they gives priority to the people buy the tickets at the moment it is...More"
Barry P,"Wakefield, United Kingdom",Couples,Organised chaos !!!!,"January 3, 2018",1,"We arrived 01 January 2018.
Checked opening times on internet 09:00 arrived approx 09.15 notice on door
Stating not opening until 10am.(bad start)
Started to que outside in freezing temperatures approx 30 mins, when one of the dis organiser told us we do not need...More"
rebeccatE9300IU,"London, United Kingdom",Couples,Waste of money,"December 9, 2017",1,Don't waste your time or money. Massive queues and the view can be had far better at the one world observatory. Plus you can go to the bar on the 65th which is one floor down (Rainbow Lounge) for free. Ask directions and take the...More
kinny30,"Kent, United Kingdom",Couples,Unfriendly ,"December 4, 2017",1,"Well 6 of my family members paid to go to the top of the rock. I am afraid of heights so didn’t join them, was sitting quietly waiting for my family to return in the top of rock ticket shop and got told couldn’t wait...More"
HelliwellsOnTour,"Thirsk, United Kingdom",Couples,Waste of my time and money,"December 4, 2017",1,"The waiting to get to the top of the rock is disgraceful. Even with New York City Passes we still had to queue and that was only to get the timed ticket, which was another hour and a half. So we went back at our...More"
Dirk M,"Grosskarlbach, Germany",Couples,waste of money,"December 1, 2017",1,if you wnat to get a great view over the sky line from Manhattan go to Williamsburg into any of the new roof top bars. There you get a much better view and it is for free.
Karen G,Drogheda,Couples,Excited to go ,"November 30, 2017",1,Was really looking forward to this part of my trip only to be told my designer shorts had a frayed hem and was not allowed in really I'm a tourist from Ireland and can't get about the ground floor very dissatisfied
MarionSch71,,Couples,Never again!,"November 13, 2017",1,"I will definitely never ever go there again! (we were there in October 2015)
There might be other buildings to get a nice view.
And the fee is excessively expensive! We went there - it took very long to get the ticket, then you get...More"
GarryRobson,London,Couples,No thank you,"October 21, 2017",1,"Sorry, but no thank you. $36 just to go up the Rockefeller Centre’s tower for a view? Really? Can’t see the value in that."
majoresq,"San Francisco, California",Couples,Not worth it,"September 25, 2017",1,We booked a time to enter hoping to enjoy the sunset- we thought they would manage the crowds better and keep the numbers on the Top of the Rock to a number that allowed a worthwhile visit - we did not enjoy it and would...More
gazzasnowball,"yorkshire, england",Couples,Overcrowded and overpriced,"September 4, 2017",1,I am with the tiny minority 1% who think this is overcrowded and overpriced. The only positive was we bought our tickets the day before and saved ourselves some of the waiting (of which there is plenty especially at dusk). A beer and pizza in...More
Andrew F,,Couples,SCHEDULE ,"August 22, 2017",1,"You are given a time to go up, our was 7.55 until 8.15. Were were herded like cattle into one of three rows with no explanation as to what was happening. After a 10 minute wait and watching curtains being drawn and people disappearing behind...More"
bowlmeova,"Dartmouth, Massachusetts",Couples,32 bucks for an elevator ride just for a look see!! No way,"July 15, 2017",1,I enjoy sightseeing as much as anyone. Were the price around $10 I would do it. $32 is way overpriced particularly in a building that earns multi-millions annually. What does one get for the money. A bird's eye view of tall buildings and crowded streets....More
Matt B,"Canvey Island, United Kingdom",Couples,Ruined by selfish people,"July 9, 2017",1,Obviously the views of Manhattan are fantastic. However our visit was terrible. We thought we would go at sunset. Big mistake. I couldn't believe how selfish people are. People set up their cameras on the steel railings of the upper deck and would not budge....More
Mackee23,,Couples,A waste of money,"June 12, 2017",1,"This is really not worth the money. They have strict entrance times and when you get up to the top it is extremely crowded. It then takes ages to get down, so you end up waiting in line for almost an hour just so you...More"
Ootytooty,LONDON,Couples,Appalling Customer Service,"May 30, 2017",1,"I booked 2 Sun and Stars tickets earlier today. This means I get to go up in the daytime on one ticket, while using the second ticket to go up and view Manhattan in the evening. The first trip was glorious - for me, it...More"
Kbeatty32,"Saint Louis, Missouri",Couples,Horrible awful experience,"May 28, 2017",1,What a ripoff. So expensive just to wait in line after line after line. They jammed us in like sardines at the top. You couldn't move. It said the limit up there is 499 people for safety reasons. There were at least 700 people jammed...More
David W,"Stoke-on-Trent, United Kingdom",Couples,Worst experience in NYC ,"May 22, 2017",1,"What a disappointment, we had really looked forward to this attraction on our recent visit to NYC. It doesn't matter how great the view might be if you are too frustrated to enjoy it.
We had saved this to be a late evening trip so...More"
late_starters40,"Dublin, Ireland",Couples,Great views,"May 18, 2017",1,"After taking the Rockefeller Centre Tour, this was a great finish. Excellent views of the Manhattan Skyline."
Ronnietlv,"Tel Aviv, Israel",Couples,"Tourist trap, not worth paying for - BEWARE","May 15, 2017",1,"Top of the Rock has been our greatest disappointment in NYC: service given by the team in what is marketed as ""VIP Tickets"" is less than ""Economy Class"" service reflected by an unfriendly communication, poor and old-fashioned facilities (in the bad way) and a very...More"
soccer1218,"Livonia, Michigan",Couples,Rude,"April 29, 2017",1,"People working there are EXTREMELY rude. Yelling at people all the time. They yell at you for trying to read signs, they yell at you while you stand in line for an hour to buy a ticket because they are doing shift change and making...More"
Jacky C,"London, United Kingdom",Couples,"Good view, but rude guards abd unresponsive management","April 24, 2017",1,"Went up to the top deck. Good view. No complaints on that front.
However, there was a very rude guard shouting at people.
Stood on an elevated step by the wall. No signs of any prohibition. Got shouted at and i quoted, 'GET DOWN RIGHT...More"
Brady H,,Couples,Do Not Do This Tour,"April 17, 2017",1,You'll spend more time waiting in line than anything else. What was the point in purchasing a time slot they don't honor? Stay away.
samanthak27,"Carlisle, United Kingdom",Couples,Where does it say about time slots and limited tickets????,"April 13, 2017",1,"For a start I would have given it zero but had to give it one. Didn't even get up there!!!
Went on Wednesday 11th April.
Arrived at 21:00
3 extremely rude, condescending arrogant staff.
No tickets left - female attendant thought it was hugely funny...More"
Steph222,"Cockermouth, United Kingdom",Couples,Disastrous end to a fabulous few days.... ,"April 11, 2017",1,"We had a fabulous few days in New York, saved Top of the Rock for our last night treat before going home... Had wonderful cocktails at a roof bar, fabulous dinner at Smiths. Arrived at the Top of the Rock to be told in spite...More"
patrick m,,Couples,View is spectacular but the commercial aspect ruins the experience,"March 13, 2017",1,"The view is great, and the elevator ride tippy.
The rest of the experience is extremely commercial and almost crass. The first 15 minutes is designed to get you to buy something. I would not go back."
lovethatbark,"New York City, New York",Couples,Overpriced Tourist Trap,"March 5, 2017",1,Its just another overpriced tourist trap. Im a NYer so its great to bring in the revenue but its just so damn overpriced. They need to significantly lower their price. A NYer cant even afford to visit because it just too damn expensive just for...More
tedaustad,"Atlanta, Georgia",Couples,Expensive Elevator Ride,"January 22, 2017",1,The unfriendly staff directed my wife and I to the wrong line three times and then laughed as they watched us trying to figure out where to buy the tickets! Should have been our sign to skip the expensive ride to the top. Too much...More
jasonpb1974aus,"Melbourne, Australia",Couples,"Good views, long queues","December 28, 2016",1,"Views were great and booking was easy, only downside is the time you need to wait. Not much they can do about it, so you just need to suck it up but not the best place we visited in NYC. We were without our kids...More"
Robin S,"Alexandria, Virginia",Couples,Don't Do this at Christmas Time!,"December 11, 2016",1,"Views are great, but...There were so many people we couldn't move. This started several blocks away, and never ended during our sunset time slot. I absolutely hated the experience. If you are used to throngs of people, mostly foreign who don't understand the words ""keep...More"
Critic762,"Banff, Canada",Couples,Boo,"December 7, 2016",1,"Talk about unorganized, poorly run attraction that handles millions of people. Line up several times for no reason. Beautiful building."
Dryllig,Bedfordshire,Couples,Appalling organisation do NOT book in advance,"November 13, 2016",1,"We bought what we thought were tickets before leaving the UK but were told they were actually ""vouchers"" which needed to be exchanged for tickets. So after queuing for about 30-40 mins we did this and were told the next lift was in an hours...More"
Shaw8bro,"Spartanburg, South Carolina",Couples,Ok,"October 18, 2016",1,The ticket attendant at the final check point was rude and not helpful. It was just a view of the city with a crowded waiting area
horaceliles,"New York City, New York",Couples,Closing Early,"September 7, 2016",1,The web site said the last elevator goes up at 11:15. We got there at 11:04 and were told the last elevator goes up at 11:00. Very poor!!!'
grant592015,"Melbourne, Australia",Couples,No waiting in line,"September 4, 2016",1,Views are amazing no waiting straight up to the top a must when your in New York all staff are very friendly
declantaylor74,"Kilkenny, Ireland",Couples,Crap tourist trap! Avoid,"August 11, 2016",1,"This is the ultimate New York tourist trap $33 to go up and look at a view! Way too many staff in the place trying to justify their jobs, upon arrival with my ticket from the hotel I was told I had to get a...More"
srk1001,,Couples,sold out of tickets,"July 24, 2016",1,"We were unable to exchange our passes for tickets due to being sold out for the rest of that day, so it was a wasted trip for us .Make sure you book well in advance and enjoy trying to find your way to or from...More"
samandheidi,,Couples,"lines, lines, lines.","July 13, 2016",1,Regret going up to the top of the rock. It was almost 2 hours of constantly standing in a queue. Queue to join the queue that eventually gets you in the queue for the main queue. Best part of 2 hours stood in a queue....More
Ron T,"Medfield, Massachusetts",Couples,Are they kidding?,"June 15, 2016",1,"$33 per person to take the elevator to the Observation Deck. No, that is not a typo: $33 per person! We considered this a major ripoff and walked away."
CALYPSOLondon,LONDON,Couples,Beware No Refunds due to Poor Weather,"June 9, 2016",1,The weather in Manhattan is very changeable. Please don't book your 'top of the rock' tickets before you go as they are non refundable if the visibility is poor. They will not let you go up and make you queue for a long time to...More
TravelBabeSA,,Couples,Bad advertising ,"May 29, 2016",1,"Misleading
The NY Timeout page advertises this as $21 for adults, ""not as expensive as the other site ($32)...""
When you try to book tickets, it's suddenly $30 per adult
Really?!?!?
Tired of misleading pricing info"
Reddais,,Couples,Very disappointed ,"May 22, 2016",1,Made plans and bought tickets months out to go to this venue near sunset. We paid to get a specific timed entry. The guards at the gate sort of jerk you around about getting in....don't even stand near unless it is your time. Once you...More
doc42travel2016,"New York City, New York",Couples,Spoilt by staff,"March 24, 2016",1,"Whilst the view from the observation deck is breathtaking the whole experience was ruined by a female ticket sales staff member. Having never been to the city before, nor the building, I was humiliated by a female staff member at the ticket sales desk at...More"
Chuckwud,,Couples,Avoid - read review for reason,"January 25, 2016",1,"Booked $79 discount ticket to Top of the Rock. Thought we'd be able to visit pre-sunset and ""watch the lights come on"". Only allowed to stay 45 minutes.
INSTEAD - go go revolving bar and/or restaurant at the top of the Marriott Times Square! Free!...More"
Praeceptor,"Southsea, Hampshire",Couples,Choose a clear day if you can!,"December 30, 2015",1,"On the day we visited, visibility was zero. You could only see the ground below the Tower, but on arrival we were offered the opportunity to change the tickets to another day. Unfortunately our visit did not permit this, so we went up into the...More"
Akeeel123,"London, United Kingdom",Couples,Don't get ripped off!!!,"December 8, 2015",1,Make sure you check your photos after they've been taken if you get the premier pass with a free photo. Our photos were poor and blurry. Also - note that with the premier pass it's a digital photo (I.e. They email it to you and...More
Ann G,New Jersey,Couples,Waste of money,"November 19, 2015",1,This is a huge waste of money. The view from the Empire State Building is at least a landmark. This is nothing but expensive. The view from the new World Trade Center is also impressive. Save your money and take the tour of the NBC...More
Scott C,County Durham,Couples,Let down on our last day in NY,"November 8, 2015",1,This was meant to be the ultimate end to our amazing holiday in New York. We visited the rockafeller centre on 6th November and couldn't wait to get our beautiful pictures of New York but we were let down by what I can only describe...More
asha884,DC,Couples,Horrific Customer Service!!,"October 24, 2015",1,"In the last ten years, I have visited NYC many times and I usually visit the Empire State Building. This visit, I decided to visit the Top of the Rock. I can honestly say this is the worst tourist attraction I have ever visited in...More"
Chris W,"New York City, New York",Couples,Avoid at all costs.,"September 23, 2015",1,"Cattle get treated better than we were.😬. Too many people being rammed in at once was at the heart of it. Presumably the accountants love it, we hated the whole experience. AVOID AT ALL COSTS. It needs a different business plan. Put up the price...More"
Connie N,,Couples,High and mighty...,"September 18, 2015",1,Wow!! What a view!! Very well organized and breathtaking. Try to do it on a clear day. My camera was on black and white and those pix were really cool.
JezLayton,"Worcestershire, United Kingdom",Couples,underwhelmed,"September 13, 2015",1,I guess after the Empire State everything else would be an underwhelming experience. The area surrounding the Rockerfeller centre is very nice but top of the rock not worth bothering with especially for the price
Frank G,,Couples,Nothing special,"September 11, 2015",1,"Empire State Building or 9/11 Memorial in lower Manhattan is more interesting. At Christmas time it can be very interesting. Also, if not a New Yorker, visit the Statue of Liberty."
Julia K,,Couples,Overpriced and disappointing,"August 31, 2015",1,"At over $30 each, we expected more. There were a few corny NBC produced videos about the History of the Rockerfeller Center, about the Christmas tree and another about the Rockerfeller Center. The volume on the videos was too low so I could barely hear....More"
Jaco8110,Kempton Park,Couples,Missed that...,"July 4, 2015",1,"we heard it was free to go up and see, got there and it was not. $30 is a bit much, we rather spend it at the new One World Centre"
Christo1965,"Tielt, Belgium",Couples,Disaster & arrogance,"May 31, 2015",1,"We had the intention to visit the Rockefeller Center going up by daylight (around 19.00), coming down in the dark (around 20.00). So we checked with the guards at the entrance how to proceed for tickets with the New York Pass. 'Oh, no problem, you...More"
grahamw899,"Canberra, Australia",Couples,They dont honor skip the queue from New York Pass,"May 30, 2015",1,"I was told "" you people have to wait an hour and a half. If you pay cash you can go up now"" I showed the New York Pass book with the skip the queue and was told that they did not agree to that...More"
schoong324,OREGON,Couples,Give me a break!,"May 20, 2015",1,"$60 for my husband and myself to ride the elevator up, snap some photos, and ride back down. Of course the view is fantastic but come on!"
SpikeCoDurham,"County Durham, United Kingdom",Couples,Rip off,"May 16, 2015",1,"We tried on several occasions during our trip to get tickets for the Observation Deck without success so were advised to pre book. We bought tickets on the evening before we flew home to visit the following morning, and at no point were we told...More"
698gregk,,Couples,Debacle of a booking system,"April 12, 2015",1,"On impulse decided to go to the Top of the Rock as we were at the Rockefeller Centre. First staff member we asked were to buy tickets said straight across the hall , completely erroneously as it turned out. A sign that said purchase tickets...More"
milenariohalcon,Madrid,Couples,Nice views terrible organization,"April 11, 2015",1,"We book in advance in inernet, suppously we mustgoup at 8:2 an we wait an hour because of the lack organization so why we bok at internet, then we also purchase 2 photos and we have to claim it twice then the views where great"
Becky S,"Madison, Wisconsin",Couples,"HUGE waste of time, energy & money!! Go to Empire State Building instead","March 31, 2015",1,This was a HUGE disappointment for us. The staff seamed unorganized and at times even unprofessional. The selling of tickets for time slots is also ridiculous as it certainly didn't help to curb the amount of people at any given time. They try to move...More
Steve A,"Pershore, United Kingdom",Couples,Herded like cattle.,"March 31, 2015",1,Yeah the view at the top is fabulous but the herding from one area to the next was poor. Not worth the hassle.
DavidCPerth,"Perth, Australia",Couples,Thanks for the Memories,"January 6, 2015",1,We were fortunate enough to race through the excruciating entry ritual where you can indeed wait in line for the term of your natural life. It was too crowded and I wanted to hide in the lavatory but someone was up to something for a...More
JR55_55,"Satellite Beach, Florida",Couples,DON'T WASTE YOUR TIME,"December 18, 2014",1,"Over 2 hours total waiting in line (they don't show you the line when you buy your tickets or show up on time) - it was the worst part of our nyc trip. You couldn't pay me $2,000 to do it again after a day...More"
julesvee,Gloucestershire,Couples,You should get a prize if you can find it!,"November 10, 2014",1,"We had a lonely planet guide book, and found the Plaza easily, but then we came to a holt! Reading the book, we eventually worked out it was the GE building so we went in, and walked all around the ground floor Plaza, to see...More"
donbacardi,Germany,Couples,Staff is out of Control.........,"October 14, 2014",1,"I am a native New Yorker living in Germany. I recently visited the Top of the Rock with my German Fiancee (her idea). I was appalled by the way the staff made us rush through the visit. I felt treated like a ""child lost in...More"
Greg H,"Lake Worth, Florida",Couples,Very Disappointing!,"September 20, 2014",1,"This attraction was included in our New York Pass which also promoted it as a ""Fast Track"" attraction. We arrived at approximately 6:30pm on a Sunday evening. A representative told us we could make the last Rockefeller Center tour at 7 - if we hurried....More"
KG3626,"Newcastle upon Tyne, United Kingdom",Couples,Missed the sunset,"September 20, 2014",1,"We booked a ticket slot for 7pm as we were told to see the city when the sun is going down, we actually got to the viewing decks at 7.45 due to having to wait in line with the other hundreds of people who had...More"
Lisaonthegoco,"Littleton, Colorado",Couples,We didn't go...,"August 20, 2014",1,I know we should have bought tickets ahead but we weren't sure of the weather. When we got to Rockerfeller Center nothing was marked very well and so we really walked a long way to finally get to the basement to get tickets. The line...More
Alan S,"Norwich, England, United Kingdom",Couples,"Security mad, in a country which allows guns! No penknives allowed.","July 8, 2014",1,"They took our money without warning that there are severe security restrictions, then refused us entry because I had a swiss army knife in my back pack. They refused to keep it for me until the trip was over - surely they could have some...More"
Twins12,"Singapore, Singapore",Couples,Not worth the ride,"June 5, 2014",1,For USD29.00 not worth the ride and view. No information when you reach the top. The Empire State building has a better view in my opinion and has an audio guide which comes with the ticket for the same price as the Top of the...More
Lemslip,"Manchester, United Kingdom",Couples,There is much better,"May 3, 2014",1,"Top of the Rock was a real disappointment. For a similar price go up the Empire state. It is taller, better and more organised.
Empire State is also a New York icon. By comparison Top of the rock is a tall(ish) building with a bit...More"
rugby276,"County Antrim, United Kingdom",Couples,Don't waste your money on this!!!,"February 14, 2014",1,"This tour was the biggest waste of my time and money I encountered on my visit in New York. In a city where most things are hyped up to be better than they are, this place takes the biscuit. I had a better view from...More"
kev222222,"Stafford, United Kingdom",Couples,So disorganised and rude staff,"October 12, 2013",1,"The view from the to breathtaking as other reviews had mentioned. The problem with this attraction is the total disorganisation. The staff did know what they were doing and worse didn't care. 1 set of staff were heard people one way, where you were stopped...More"
